customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,num_contacts_in_campaign,num_contacts_prev_campaign,term_deposit_subscribed
36.0,management,married,tertiary,no,49.0,no,no,cellular,29,aug,4.0,0,0
36.0,management,married,tertiary,no,2123.0,yes,no,cellular,21,jul,3.0,0,0
36.0,technician,married,secondary,no,5116.0,yes,no,unknown,30,may,4.0,0,0
44.0,admin.,married,secondary,no,-2.0,no,no,unknown,26,may,3.0,0,0
52.0,technician,married,secondary,no,195.0,yes,no,cellular,17,dec,2.0,3,0
43.0,unemployed,single,primary,no,213.0,no,no,cellular,5,jun,3.0,0,1
53.0,services,divorced,primary,no,2298.0,yes,no,unknown,6,may,2.0,0,0
34.0,blue-collar,married,secondary,no,289.0,yes,no,unknown,6,jun,2.0,0,0
34.0,admin.,single,tertiary,no,1535.0,yes,no,cellular,15,may,1.0,5,0
32.0,technician,married,secondary,no,157.0,yes,yes,cellular,14,jul,2.0,0,0
45.0,technician,married,tertiary,no,1798.0,no,no,cellular,28,jan,2.0,0,0
31.0,services,single,secondary,no,1.0,no,no,cellular,29,jan,1.0,0,0
29.0,blue-collar,married,primary,no,342.0,no,no,telephone,20,nov,1.0,0,0
35.0,blue-collar,single,secondary,no,7124.0,no,no,unknown,20,jun,17.0,0,0
44.0,services,married,secondary,no,6348.0,yes,no,cellular,11,may,1.0,0,0
47.0,admin.,married,secondary,no,14442.0,yes,no,cellular,21,nov,1.0,0,0
47.0,blue-collar,married,,no,3111.0,no,no,cellular,6,aug,2.0,0,0
44.0,entrepreneur,married,secondary,no,1.0,no,no,unknown,5,jun,1.0,0,1
31.0,technician,single,secondary,no,141.0,no,no,cellular,20,nov,4.0,0,0
35.0,services,single,secondary,no,774.0,yes,no,cellular,3,feb,2.0,1,0
33.0,blue-collar,married,secondary,no,1789.0,yes,no,cellular,16,apr,2.0,0,0
37.0,technician,married,tertiary,no,-361.0,no,no,cellular,26,aug,2.0,0,0
39.0,management,single,tertiary,no,102.0,yes,no,cellular,8,may,1.0,0,0
29.0,blue-collar,divorced,secondary,no,247.0,yes,yes,unknown,7,may,2.0,0,0
38.0,management,married,secondary,no,1958.0,no,no,cellular,4,may,6.0,11,0
31.0,blue-collar,divorced,secondary,no,876.0,yes,yes,cellular,29,jan,3.0,1,0
31.0,blue-collar,married,secondary,no,76.0,yes,yes,cellular,22,jul,1.0,0,0
49.0,admin.,married,secondary,no,208.0,no,no,unknown,17,may,1.0,0,0
21.0,student,single,secondary,no,4127.0,no,no,cellular,5,apr,4.0,7,1
32.0,management,married,tertiary,no,1331.0,no,no,cellular,3,feb,2.0,1,1
32.0,admin.,married,secondary,no,1161.0,yes,no,cellular,20,apr,2.0,0,0
56.0,admin.,married,,no,0.0,yes,no,cellular,17,nov,1.0,2,0
48.0,technician,married,secondary,no,1941.0,yes,yes,cellular,6,aug,2.0,0,0
46.0,self-employed,married,secondary,no,1563.0,no,no,cellular,24,dec,3.0,3,0
39.0,services,married,secondary,no,200.0,no,no,cellular,30,jan,2.0,0,0
46.0,management,married,tertiary,no,509.0,no,no,cellular,23,apr,2.0,0,1
45.0,management,married,tertiary,no,0.0,no,no,cellular,16,jun,2.0,0,0
45.0,management,divorced,tertiary,no,542.0,yes,no,cellular,14,may,1.0,2,0
53.0,blue-collar,married,primary,no,105.0,yes,no,unknown,27,may,2.0,0,0
28.0,admin.,married,secondary,no,-362.0,yes,yes,unknown,3,jun,1.0,0,0
37.0,technician,married,secondary,no,6387.0,yes,yes,cellular,18,nov,1.0,0,0
29.0,technician,single,secondary,no,-5.0,yes,no,cellular,6,may,1.0,0,0
35.0,blue-collar,married,primary,no,3150.0,yes,no,unknown,16,jun,3.0,0,0
61.0,admin.,married,secondary,no,3739.0,no,no,cellular,22,sep,1.0,11,1
41.0,blue-collar,married,primary,no,571.0,no,no,cellular,2,feb,1.0,0,0
57.0,admin.,married,secondary,no,368.0,no,no,cellular,26,aug,12.0,0,0
57.0,housemaid,divorced,primary,yes,1234.0,no,no,unknown,5,jun,1.0,0,1
29.0,technician,single,secondary,no,196.0,no,no,cellular,6,aug,2.0,0,0
49.0,admin.,married,secondary,no,424.0,yes,yes,cellular,20,oct,2.0,7,0
40.0,management,single,secondary,no,110.0,yes,no,telephone,27,aug,9.0,0,0
61.0,retired,married,secondary,no,602.0,yes,no,cellular,7,may,1.0,0,0
26.0,management,married,tertiary,no,122.0,yes,no,cellular,18,may,2.0,0,0
30.0,technician,single,secondary,no,2391.0,no,no,cellular,5,aug,1.0,0,0
31.0,management,married,tertiary,no,2732.0,yes,yes,unknown,23,may,1.0,0,0
40.0,services,married,secondary,no,434.0,yes,no,cellular,15,may,6.0,3,0
24.0,blue-collar,single,secondary,no,2355.0,no,yes,unknown,27,may,1.0,0,0
33.0,management,single,tertiary,no,111.0,yes,no,cellular,15,jul,2.0,0,0
32.0,management,single,tertiary,no,3772.0,yes,no,cellular,9,feb,4.0,1,0
59.0,technician,married,secondary,no,134.0,yes,no,telephone,16,nov,13.0,1,0
31.0,blue-collar,single,secondary,no,1033.0,yes,yes,cellular,16,apr,2.0,2,0
39.0,technician,married,secondary,no,1629.0,yes,no,unknown,19,may,3.0,0,0
53.0,services,married,secondary,no,529.0,yes,no,cellular,29,jul,2.0,0,0
31.0,management,single,tertiary,no,37.0,no,no,cellular,19,aug,2.0,0,0
57.0,self-employed,divorced,secondary,no,152.0,no,no,unknown,17,jun,3.0,0,0
30.0,blue-collar,single,secondary,no,2741.0,no,no,cellular,28,jan,1.0,0,0
35.0,management,married,tertiary,no,212.0,yes,no,unknown,21,may,1.0,0,0
35.0,blue-collar,married,secondary,no,2693.0,yes,no,cellular,20,apr,1.0,0,0
36.0,technician,married,secondary,no,2200.0,no,no,telephone,12,apr,1.0,0,1
47.0,entrepreneur,married,secondary,no,7902.0,yes,yes,cellular,22,aug,2.0,0,0
35.0,blue-collar,married,secondary,no,177.0,yes,no,unknown,15,may,2.0,0,0
47.0,management,married,tertiary,no,267.0,yes,no,cellular,15,jul,2.0,0,0
29.0,management,married,tertiary,no,2.0,yes,no,unknown,23,may,1.0,0,0
47.0,management,married,secondary,no,-2.0,yes,no,unknown,14,may,4.0,0,0
33.0,technician,single,secondary,yes,-483.0,yes,no,cellular,17,apr,1.0,0,1
54.0,self-employed,married,tertiary,no,544.0,no,no,telephone,6,feb,5.0,0,0
48.0,management,single,tertiary,no,34.0,no,yes,unknown,3,jul,1.0,0,0
52.0,management,divorced,tertiary,no,2910.0,yes,no,unknown,30,may,1.0,0,0
26.0,management,married,tertiary,no,245.0,yes,no,cellular,31,mar,2.0,1,0
36.0,management,married,tertiary,no,289.0,no,yes,cellular,5,aug,1.0,0,0
31.0,entrepreneur,married,tertiary,no,280.0,yes,no,telephone,20,apr,5.0,2,0
33.0,management,married,tertiary,no,3297.0,yes,no,cellular,17,jun,2.0,4,1
54.0,technician,married,secondary,no,2312.0,yes,no,cellular,8,may,3.0,2,0
33.0,blue-collar,married,tertiary,no,11.0,yes,no,unknown,18,jun,3.0,0,0
28.0,admin.,single,secondary,no,-136.0,no,no,cellular,18,jul,1.0,0,0
52.0,blue-collar,married,primary,no,1014.0,yes,no,cellular,20,apr,1.0,0,0
34.0,self-employed,divorced,tertiary,no,1356.0,yes,no,cellular,14,may,1.0,2,1
26.0,management,single,tertiary,no,125.0,no,yes,cellular,8,jul,1.0,0,0
37.0,management,married,tertiary,no,413.0,yes,no,cellular,7,apr,1.0,0,0
26.0,services,single,secondary,no,451.0,no,no,cellular,19,apr,2.0,0,1
31.0,technician,married,secondary,no,1094.0,yes,no,unknown,2,jun,3.0,0,0
51.0,management,married,tertiary,no,915.0,yes,no,unknown,9,may,4.0,0,0
28.0,management,married,tertiary,no,476.0,yes,no,cellular,21,nov,5.0,0,0
29.0,blue-collar,single,secondary,no,901.0,yes,yes,unknown,21,may,7.0,0,0
41.0,technician,divorced,secondary,no,2179.0,no,no,cellular,28,aug,10.0,0,0
35.0,student,single,,no,39.0,yes,no,unknown,29,may,1.0,0,0
30.0,management,married,tertiary,no,352.0,yes,no,cellular,8,apr,2.0,2,0
23.0,student,single,secondary,no,1745.0,no,no,cellular,21,aug,2.0,0,0
62.0,retired,divorced,secondary,no,1096.0,no,no,cellular,11,jul,2.0,0,1
44.0,admin.,married,secondary,no,-1093.0,yes,yes,cellular,31,jul,4.0,0,0
45.0,unemployed,married,secondary,no,1035.0,no,no,telephone,26,may,5.0,0,0
37.0,blue-collar,married,primary,no,-1.0,no,no,unknown,20,jun,4.0,0,0
36.0,technician,single,secondary,no,25.0,yes,no,cellular,18,may,2.0,2,0
48.0,blue-collar,married,primary,no,7096.0,no,no,cellular,6,aug,7.0,0,1
33.0,management,single,secondary,no,356.0,yes,no,unknown,20,may,1.0,0,0
37.0,management,married,tertiary,no,2374.0,yes,yes,cellular,20,jul,2.0,6,0
29.0,technician,married,secondary,no,27.0,no,no,cellular,21,aug,2.0,0,0
32.0,management,single,tertiary,no,1717.0,yes,no,unknown,21,may,2.0,0,0
32.0,blue-collar,married,secondary,no,-661.0,yes,yes,unknown,28,may,2.0,0,0
39.0,unemployed,single,secondary,no,358.0,yes,no,cellular,4,may,2.0,2,0
27.0,admin.,married,secondary,no,-2.0,yes,yes,cellular,26,may,1.0,0,0
32.0,services,married,secondary,no,1804.0,yes,no,telephone,6,feb,1.0,2,0
29.0,services,single,secondary,no,1.0,yes,no,cellular,18,may,6.0,9,0
32.0,technician,married,tertiary,no,4658.0,yes,yes,cellular,15,jul,2.0,0,0
42.0,management,single,tertiary,no,265.0,yes,no,cellular,31,jul,5.0,0,0
39.0,services,married,tertiary,no,-123.0,yes,no,unknown,21,may,1.0,0,0
61.0,retired,married,tertiary,no,-5.0,no,no,cellular,25,aug,3.0,0,0
52.0,management,married,secondary,no,428.0,yes,no,unknown,30,may,1.0,0,0
38.0,admin.,single,secondary,no,1061.0,yes,no,unknown,28,may,4.0,0,0
33.0,technician,single,secondary,no,-56.0,yes,no,unknown,30,may,2.0,0,0
39.0,technician,married,secondary,no,-3.0,yes,yes,cellular,21,nov,1.0,0,0
50.0,retired,divorced,primary,no,662.0,yes,no,cellular,15,may,5.0,0,0
41.0,blue-collar,divorced,,no,536.0,no,no,unknown,16,may,2.0,0,0
42.0,management,married,tertiary,no,979.0,no,no,cellular,19,aug,1.0,0,0
44.0,blue-collar,married,secondary,no,7890.0,yes,no,cellular,4,feb,1.0,0,1
39.0,blue-collar,married,primary,no,2521.0,yes,no,unknown,15,may,4.0,0,0
42.0,management,married,secondary,no,108.0,no,no,unknown,17,jun,2.0,0,1
51.0,entrepreneur,married,primary,no,3339.0,yes,yes,unknown,16,may,1.0,0,0
46.0,blue-collar,married,secondary,no,1094.0,yes,yes,cellular,6,feb,2.0,0,0
60.0,management,divorced,tertiary,no,5697.0,no,no,cellular,30,apr,1.0,1,1
32.0,blue-collar,married,secondary,no,717.0,yes,no,unknown,8,may,1.0,0,0
60.0,services,married,secondary,no,293.0,no,yes,cellular,22,jul,4.0,0,0
41.0,services,single,secondary,no,2.0,no,no,unknown,20,jun,2.0,0,0
44.0,unemployed,married,,no,189.0,no,no,cellular,11,aug,2.0,0,1
78.0,retired,married,secondary,no,8303.0,no,no,telephone,9,jun,1.0,12,1
42.0,blue-collar,married,primary,no,1068.0,no,no,cellular,30,jul,2.0,0,0
38.0,technician,married,secondary,no,0.0,no,no,cellular,11,mar,1.0,0,0
33.0,self-employed,single,tertiary,no,9958.0,no,no,cellular,20,aug,1.0,0,1
34.0,blue-collar,married,secondary,no,3879.0,yes,no,cellular,20,apr,5.0,0,0
39.0,blue-collar,married,tertiary,no,1988.0,yes,no,cellular,20,apr,2.0,0,0
54.0,retired,divorced,secondary,no,-57.0,no,yes,cellular,15,jul,10.0,0,0
38.0,management,married,tertiary,no,385.0,no,no,unknown,28,may,2.0,0,0
45.0,blue-collar,married,primary,no,296.0,yes,no,cellular,29,aug,4.0,0,0
53.0,admin.,married,secondary,no,-1601.0,no,yes,cellular,13,may,2.0,0,0
50.0,management,married,tertiary,no,5793.0,no,no,cellular,19,nov,1.0,0,0
39.0,self-employed,married,secondary,no,308.0,yes,no,unknown,20,may,2.0,0,0
61.0,retired,married,secondary,no,3.0,no,no,telephone,31,jul,20.0,0,0
39.0,services,divorced,secondary,no,5767.0,yes,yes,unknown,28,may,1.0,0,0
44.0,admin.,married,secondary,no,821.0,yes,no,unknown,30,may,2.0,0,0
45.0,blue-collar,divorced,primary,no,4.0,no,yes,unknown,4,jul,1.0,0,0
29.0,self-employed,single,primary,no,162.0,no,no,cellular,9,feb,3.0,0,0
31.0,blue-collar,single,secondary,no,565.0,yes,no,cellular,7,may,2.0,4,0
64.0,unknown,married,,no,2795.0,no,no,telephone,9,sep,4.0,0,0
51.0,management,divorced,tertiary,no,-808.0,yes,no,cellular,7,aug,3.0,0,0
30.0,admin.,married,secondary,no,410.0,yes,no,cellular,20,apr,3.0,2,0
26.0,admin.,married,secondary,no,319.0,yes,no,cellular,15,jul,2.0,0,0
51.0,blue-collar,married,secondary,no,736.0,no,yes,unknown,12,jun,1.0,0,0
33.0,technician,single,secondary,no,-414.0,yes,no,unknown,28,may,1.0,0,0
56.0,blue-collar,married,primary,no,-544.0,no,no,cellular,25,aug,6.0,0,1
49.0,unemployed,married,primary,no,129.0,yes,no,cellular,19,nov,2.0,0,0
42.0,management,married,tertiary,no,1045.0,yes,no,unknown,12,jun,1.0,0,0
71.0,retired,divorced,tertiary,no,264.0,no,no,cellular,12,aug,2.0,0,0
27.0,blue-collar,single,secondary,no,43.0,yes,no,unknown,9,may,1.0,0,0
58.0,admin.,single,secondary,no,473.0,no,no,cellular,5,feb,2.0,1,0
55.0,management,single,tertiary,no,1091.0,yes,yes,cellular,17,nov,3.0,4,0
39.0,blue-collar,divorced,secondary,no,194.0,no,no,cellular,15,may,1.0,0,0
34.0,management,married,secondary,no,249.0,no,no,cellular,25,aug,6.0,0,0
45.0,blue-collar,married,secondary,no,1332.0,yes,no,cellular,25,aug,2.0,0,0
33.0,management,single,secondary,no,20599.0,no,no,cellular,20,nov,1.0,0,0
30.0,blue-collar,married,secondary,no,464.0,yes,no,unknown,23,may,4.0,0,0
43.0,blue-collar,married,,no,86.0,yes,no,unknown,16,may,1.0,0,0
60.0,retired,married,tertiary,no,2508.0,no,no,cellular,29,jul,4.0,0,0
76.0,retired,married,secondary,no,2656.0,no,no,cellular,10,nov,5.0,0,1
52.0,blue-collar,divorced,primary,no,217.0,yes,no,unknown,4,jun,5.0,0,0
33.0,technician,married,secondary,no,657.0,no,no,cellular,22,jun,1.0,0,0
33.0,management,divorced,tertiary,no,293.0,yes,no,cellular,17,jul,5.0,0,1
35.0,management,married,tertiary,yes,-1.0,yes,yes,cellular,21,nov,1.0,0,0
42.0,blue-collar,divorced,secondary,no,3259.0,no,no,cellular,31,jul,6.0,0,0
58.0,blue-collar,married,secondary,no,-42.0,yes,no,unknown,27,may,2.0,0,0
41.0,admin.,married,primary,no,247.0,yes,no,unknown,14,may,1.0,0,0
56.0,housemaid,single,secondary,no,11492.0,no,no,telephone,4,mar,7.0,0,0
32.0,management,single,tertiary,no,1132.0,yes,no,unknown,20,may,2.0,0,0
29.0,technician,single,tertiary,no,3.0,no,yes,telephone,14,aug,3.0,0,0
34.0,technician,divorced,secondary,no,3068.0,yes,yes,cellular,20,nov,2.0,1,0
25.0,blue-collar,single,secondary,no,156.0,yes,no,cellular,18,may,2.0,2,0
43.0,blue-collar,married,secondary,no,1144.0,yes,no,cellular,8,feb,2.0,3,1
35.0,admin.,married,secondary,no,370.0,no,no,cellular,29,aug,10.0,0,0
34.0,admin.,single,tertiary,no,14.0,yes,yes,cellular,30,apr,1.0,0,1
33.0,blue-collar,single,,yes,-528.0,yes,no,unknown,7,may,1.0,0,0
29.0,management,single,secondary,no,204.0,yes,no,cellular,7,may,1.0,0,0
29.0,unemployed,divorced,secondary,no,1147.0,yes,no,cellular,8,may,2.0,1,0
31.0,management,single,tertiary,no,984.0,yes,no,cellular,25,oct,1.0,2,1
38.0,technician,single,secondary,no,821.0,yes,yes,cellular,19,aug,4.0,0,0
30.0,blue-collar,married,secondary,no,635.0,yes,no,unknown,23,may,4.0,0,0
33.0,management,single,tertiary,no,726.0,no,no,cellular,27,aug,6.0,0,0
32.0,blue-collar,divorced,primary,no,295.0,yes,no,unknown,13,may,2.0,0,1
49.0,technician,married,secondary,no,736.0,yes,no,cellular,17,nov,3.0,0,0
62.0,unemployed,married,primary,no,27.0,yes,no,unknown,16,may,6.0,0,0
31.0,admin.,single,secondary,no,391.0,yes,yes,cellular,31,jul,3.0,0,0
54.0,technician,married,secondary,no,-4.0,no,no,unknown,20,jun,4.0,0,0
21.0,admin.,single,secondary,no,1.0,yes,no,unknown,9,may,1.0,0,0
55.0,blue-collar,married,primary,no,1941.0,yes,no,telephone,21,nov,3.0,0,0
45.0,management,married,,no,802.0,yes,no,telephone,25,jul,1.0,0,0
56.0,retired,married,primary,no,16427.0,no,no,cellular,14,aug,2.0,0,0
43.0,technician,married,secondary,no,361.0,yes,no,cellular,17,apr,1.0,0,0
55.0,blue-collar,married,primary,no,3.0,no,no,unknown,8,may,2.0,0,0
39.0,management,single,tertiary,no,259.0,yes,no,unknown,5,may,1.0,0,0
29.0,technician,married,secondary,no,180.0,no,no,cellular,17,mar,2.0,0,1
34.0,management,married,tertiary,no,10.0,yes,no,cellular,17,nov,2.0,0,0
28.0,technician,single,secondary,no,239.0,yes,no,cellular,4,may,3.0,0,1
33.0,services,single,secondary,no,418.0,yes,no,cellular,20,apr,5.0,2,0
52.0,blue-collar,single,,no,1785.0,no,no,cellular,3,feb,2.0,0,0
35.0,blue-collar,single,secondary,no,2960.0,yes,yes,unknown,16,jun,2.0,0,0
22.0,student,single,primary,no,114.0,yes,no,cellular,18,may,2.0,0,0
29.0,management,married,tertiary,no,11.0,yes,no,cellular,16,jul,6.0,0,0
